operation,type,manufacturer,engine_type,engines,year_manufacturing,seating,fatalities
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1992.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1992.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1992.0,107.0,0
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1999.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008.0,73.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008.0,73.0,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,TURBOÉLICE,BIMOTOR,1980.0,8.0,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,TURBOÉLICE,BIMOTOR,1980.0,8.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2006.0,1.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,3.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1987.0,34.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1987.0,34.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2007.0,197.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1996.0,11.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1991.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1991.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1991.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1991.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1991.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1991.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1999.0,194.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1994.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002.0,166.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002.0,166.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002.0,166.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1992.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1992.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1992.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1999.0,154.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1999.0,154.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1999.0,154.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2006.0,166.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2001.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1986.0,52.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1986.0,52.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2004.0,14.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1991.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1991.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1991.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1991.0,7.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,2004.0,13.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,1999.0,10.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1978.0,2.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1978.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1975.0,4.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,1999.0,5.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2008.0,14.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,1991.0,183.0,0
OPERADOR DE AERONAVE,AVIÃO,MCDONNELL DOUGLAS,JATO,TRIMOTOR,1997.0,305.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2008.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2001.0,153.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1993.0,71.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1993.0,71.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1993.0,71.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1989.0,146.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1988.0,148.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1991.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1991.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1999.0,153.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1998.0,153.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,232.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2000.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2000.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2008.0,197.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2000.0,153.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2000.0,153.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2006.0,197.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2002.0,153.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1992.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1992.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1992.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1992.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1992.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,JATO,BIMOTOR,1992.0,107.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2007.0,197.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1988.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1990.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973.0,4.0,0
AEROCLUBE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1948.0,2.0,0
AEROCLUBE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1948.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1999.0,11.0,0
ÓRGÃO PÚBLICO,AVIÃO,AEROMOT,PISTÃO,MONOMOTOR,2004.0,2.0,0
ÓRGÃO PÚBLICO,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,1971.0,5.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1982.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1982.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1989.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,RAYTHEON AIRCRAFT,TURBOÉLICE,BIMOTOR,1997.0,8.0,0
AEROCLUBE,AVIÃO,CIA AERONAUTICA PAULISTA,PISTÃO,MONOMOTOR,1948.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
ÓRGÃO PÚBLICO,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1990.0,6.0,0
AEROCLUBE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1990.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1972.0,8.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1994.0,1.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1982.0,6.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2006.0,14.0,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,BIMOTOR,1976.0,6.0,0
ÓRGÃO PÚBLICO,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,2006.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,AMERICAN CHAMPION,PISTÃO,MONOMOTOR,1969.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1989.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1993.0,73.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1993.0,73.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1993.0,73.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,BIMOTOR,1973.0,6.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2006.0,194.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1998.0,11.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1998.0,11.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1979.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2005.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,184.0,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1974.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1984.0,123.0,0
OPERADOR DE AERONAVE,AVIÃO,FOKKER,TURBOÉLICE,BIMOTOR,1993.0,57.0,0
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1968.0,1.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2007.0,184.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,BIMOTOR,1981.0,7.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,3.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1979.0,4.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1979.0,4.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1979.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2005.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2005.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2005.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2008.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2008.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2008.0,184.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2006.0,194.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2006.0,194.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1999.0,194.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1994.0,50.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1994.0,50.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1994.0,50.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2000.0,153.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008.0,125.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008.0,125.0,0
ÓRGÃO PÚBLICO,AVIÃO,AEROMOT,PISTÃO,MONOMOTOR,2007.0,2.0,0
ÓRGÃO PÚBLICO,AVIÃO,AEROMOT,PISTÃO,MONOMOTOR,2007.0,2.0,0
ÓRGÃO PÚBLICO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,2002.0,6.0,0
ÓRGÃO PÚBLICO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,2002.0,6.0,0
AEROCLUBE,PLANADOR,INDÚSTRIA PARANAENSE DE ESTRUTURAS,SEM TRAÇÃO,SEM TRAÇÃO,1983.0,1.0,0
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1968.0,4.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1960.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1991.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1996.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009.0,125.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009.0,125.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009.0,125.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1998.0,194.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1998.0,194.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008.0,112.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008.0,112.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008.0,112.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008.0,112.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008.0,112.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008.0,73.0,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008.0,73.0,0
